dataset,refined_question,relevant_column,task,difficulty,results,prompt
Los Angeles Library Monthly Statistics,Are the variations in the total library visitors and the individuals seeking citizenship services at the library consistent with each other?,"[{""column_header"": ""Total Library Visitors"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""# of Individuals Assisted in Pursuing Citizenship"", ""is_strata"": false, ""is_control"": false}]",Variance Test,easy,"[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": 0.0, \""p value\"": 1.0}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 54.12628, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}, {""method"": ""Bartlett Test"", ""result"": ""{\""stat\"": 340.69172, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}, {""method"": ""F-Test for Variance"", ""result"": ""{\""stat\"": 2163.2941, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}]","### Task Description: You need to select all applicable methods from provided Classification List based on the given Statistical Question and the properties of the Relevant Columns.
### Instruction: You should only reply with one answer in JSON format containing one key: 'methods'. The value of 'methods' is a list containing all methods you think applicable. The template is: {""methods"": [""m1"", ""m2"", ""...""]}. Ensure your methods selection is only limited to the classification list provided.
### Classification List: 
Correlation Analysis: Pearson Correlation Coefficient, Spearman Correlation Coefficient, Kendall Correlation Coefficient, Partial Correlation Coefficient;
Distribution Compliance Test: Anderson-Darling Test, Shapiro-Wilk Test of Normality, Kolmogorov-Smirnov Test for Normality, Lilliefors Test, Kolmogorov-Smirnov Test, Kolmogorov-Smirnov Test for Uniform distribution, Kolmogorov-Smirnov Test for Gamma distribution, Kolmogorov-Smirnov Test for Exponential distribution;
Contingency Table Test: Chi-square Independence Test, Fisher Exact Test, Mantel-Haenszel Test;
Descriptive Statistics: Mean, Median, Mode, Range, Quartile, Standard Deviation, Skewness, Kurtosis;
Variance Test: Mood Variance Test, Levene Test, Bartlett Test, F-Test for Variance.
### Relevant Columns:
column_header: Total Library Visitors; data_type: quantitative; num_of_rows: 72; is_normality: True.
column_header: # of Individuals Assisted in Pursuing Citizenship; data_type: quantitative; num_of_rows: 72; is_normality: False.
### Statistical Question: Are the variations in the total library visitors and the individuals seeking citizenship services at the library consistent with each other?
### Response: The answer of applicable methods in JSON format is: {""methods"": ["""
Video Games Sales Dataset,"Is there a strong association between the number of units sold in Japan and the number of units sold in the rest of the world, excluding North America, Europe, and Japan?","[{""column_header"": ""Japan"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Rest of World"", ""is_strata"": false, ""is_control"": false}]",Correlation Analysis,easy,"[{""method"": ""Pearson Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.30878}"", ""conclusion"": ""Not strongly correlated""}, {""method"": ""Spearman Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.02372}"", ""conclusion"": ""Not strongly correlated""}, {""method"": ""Kendall Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.02411}"", ""conclusion"": ""Not strongly correlated""}]","### Task Description: You need to select all applicable methods from provided Classification List based on the given Statistical Question and the properties of the Relevant Columns.
### Instruction: You should only reply with one answer in JSON format containing one key: 'methods'. The value of 'methods' is a list containing all methods you think applicable. The template is: {""methods"": [""m1"", ""m2"", ""...""]}. Ensure your methods selection is only limited to the classification list provided.
### Classification List: 
Correlation Analysis: Pearson Correlation Coefficient, Spearman Correlation Coefficient, Kendall Correlation Coefficient, Partial Correlation Coefficient;
Distribution Compliance Test: Anderson-Darling Test, Shapiro-Wilk Test of Normality, Kolmogorov-Smirnov Test for Normality, Lilliefors Test, Kolmogorov-Smirnov Test, Kolmogorov-Smirnov Test for Uniform distribution, Kolmogorov-Smirnov Test for Gamma distribution, Kolmogorov-Smirnov Test for Exponential distribution;
Contingency Table Test: Chi-square Independence Test, Fisher Exact Test, Mantel-Haenszel Test;
Descriptive Statistics: Mean, Median, Mode, Range, Quartile, Standard Deviation, Skewness, Kurtosis;
Variance Test: Mood Variance Test, Levene Test, Bartlett Test, F-Test for Variance.
### Relevant Columns:
column_header: Japan; data_type: quantitative; num_of_rows: 1907; is_normality: False.
column_header: Rest of World; data_type: quantitative; num_of_rows: 1907; is_normality: False.
### Statistical Question: Is there a strong association between the number of units sold in Japan and the number of units sold in the rest of the world, excluding North America, Europe, and Japan?
### Response: The answer of applicable methods in JSON format is: {""methods"": ["""
US Christmas Tree Sales Dataset,What is the correlation between the trend in the number of Christmas trees sold and the overall income derived from the sale of Christmas trees within a specific year?,"[{""column_header"": ""Number of trees sold"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Sales"", ""is_strata"": false, ""is_control"": false}]",Correlation Analysis,medium,"[{""method"": ""Pearson Correlation Coefficient"", ""result"": ""{\""coefficient\"": \""null\""}"", ""conclusion"": ""Not applicable""}, {""method"": ""Spearman Correlation Coefficient"", ""result"": ""{\""coefficient\"": \""null\""}"", ""conclusion"": ""Not applicable""}, {""method"": ""Kendall Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.58242}"", ""conclusion"": ""Strongly correlated""}]","### Task Description: You need to select all applicable methods from provided Classification List based on the given Statistical Question and the properties of the Relevant Columns.
### Instruction: You should only reply with one answer in JSON format containing one key: 'methods'. The value of 'methods' is a list containing all methods you think applicable. The template is: {""methods"": [""m1"", ""m2"", ""...""]}. Ensure your methods selection is only limited to the classification list provided.
### Classification List: 
Correlation Analysis: Pearson Correlation Coefficient, Spearman Correlation Coefficient, Kendall Correlation Coefficient, Partial Correlation Coefficient;
Distribution Compliance Test: Anderson-Darling Test, Shapiro-Wilk Test of Normality, Kolmogorov-Smirnov Test for Normality, Lilliefors Test, Kolmogorov-Smirnov Test, Kolmogorov-Smirnov Test for Uniform distribution, Kolmogorov-Smirnov Test for Gamma distribution, Kolmogorov-Smirnov Test for Exponential distribution;
Contingency Table Test: Chi-square Independence Test, Fisher Exact Test, Mantel-Haenszel Test;
Descriptive Statistics: Mean, Median, Mode, Range, Quartile, Standard Deviation, Skewness, Kurtosis;
Variance Test: Mood Variance Test, Levene Test, Bartlett Test, F-Test for Variance.
### Relevant Columns:
column_header: Number of trees sold; data_type: quantitative; num_of_rows: 14; is_normality: True.
column_header: Sales; data_type: quantitative; num_of_rows: 14; is_normality: True.
### Statistical Question: What is the correlation between the trend in the number of Christmas trees sold and the overall income derived from the sale of Christmas trees within a specific year?
### Response: The answer of applicable methods in JSON format is: {""methods"": ["""
Rainfall Dataset of Barak Velly,Can you calculate the dispersion in October using the standard deviation?,"[{""column_header"": ""OCT"", ""is_strata"": false, ""is_control"": false}]",Descriptive Statistics,easy,"[{""method"": ""Standard Deviation"", ""result"": ""95.97313"", ""conclusion"": ""95.97313""}]","### Task Description: You need to select all applicable methods from provided Classification List based on the given Statistical Question and the properties of the Relevant Columns.
### Instruction: You should only reply with one answer in JSON format containing one key: 'methods'. The value of 'methods' is a list containing all methods you think applicable. The template is: {""methods"": [""m1"", ""m2"", ""...""]}. Ensure your methods selection is only limited to the classification list provided.
### Classification List: 
Correlation Analysis: Pearson Correlation Coefficient, Spearman Correlation Coefficient, Kendall Correlation Coefficient, Partial Correlation Coefficient;
Distribution Compliance Test: Anderson-Darling Test, Shapiro-Wilk Test of Normality, Kolmogorov-Smirnov Test for Normality, Lilliefors Test, Kolmogorov-Smirnov Test, Kolmogorov-Smirnov Test for Uniform distribution, Kolmogorov-Smirnov Test for Gamma distribution, Kolmogorov-Smirnov Test for Exponential distribution;
Contingency Table Test: Chi-square Independence Test, Fisher Exact Test, Mantel-Haenszel Test;
Descriptive Statistics: Mean, Median, Mode, Range, Quartile, Standard Deviation, Skewness, Kurtosis;
Variance Test: Mood Variance Test, Levene Test, Bartlett Test, F-Test for Variance.
### Relevant Columns:
column_header: OCT; data_type: quantitative; num_of_rows: 128; is_normality: False.
### Statistical Question: Can you calculate the dispersion in October using the standard deviation?
### Response: The answer of applicable methods in JSON format is: {""methods"": ["""
Student Performance Prediction Dataset,Does the guardianship of the student correlate with the various occupations of the father?,"[{""column_header"": ""Fjob"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""guardian"", ""is_strata"": false, ""is_control"": false}]",Contingency Table Test,medium,"[{""method"": ""Chi-square Independence Test"", ""result"": ""{\""p value\"": 0.00733}"", ""conclusion"": ""Not independent""}, {""method"": ""Fisher Exact Test"", ""result"": ""{\""p value\"": \""null\""}"", ""conclusion"": ""Not applicable""}]","### Task Description: You need to select all applicable methods from provided Classification List based on the given Statistical Question and the properties of the Relevant Columns.
### Instruction: You should only reply with one answer in JSON format containing one key: 'methods'. The value of 'methods' is a list containing all methods you think applicable. The template is: {""methods"": [""m1"", ""m2"", ""...""]}. Ensure your methods selection is only limited to the classification list provided.
### Classification List: 
Correlation Analysis: Pearson Correlation Coefficient, Spearman Correlation Coefficient, Kendall Correlation Coefficient, Partial Correlation Coefficient;
Distribution Compliance Test: Anderson-Darling Test, Shapiro-Wilk Test of Normality, Kolmogorov-Smirnov Test for Normality, Lilliefors Test, Kolmogorov-Smirnov Test, Kolmogorov-Smirnov Test for Uniform distribution, Kolmogorov-Smirnov Test for Gamma distribution, Kolmogorov-Smirnov Test for Exponential distribution;
Contingency Table Test: Chi-square Independence Test, Fisher Exact Test, Mantel-Haenszel Test;
Descriptive Statistics: Mean, Median, Mode, Range, Quartile, Standard Deviation, Skewness, Kurtosis;
Variance Test: Mood Variance Test, Levene Test, Bartlett Test, F-Test for Variance.
### Relevant Columns:
column_header: Fjob; data_type: categorical; num_of_rows: 649; is_normality: False.
column_header: guardian; data_type: categorical; num_of_rows: 649; is_normality: False.
### Statistical Question: Does the guardianship of the student correlate with the various occupations of the father?
### Response: The answer of applicable methods in JSON format is: {""methods"": ["""
Student Performance Prediction Dataset,Could you calculate the quartiles for the distribution of the quality of family relationships (famrel) in the dataset?,"[{""column_header"": ""famrel"", ""is_strata"": false, ""is_control"": false}]",Descriptive Statistics,easy,"[{""method"": ""Quartile"", ""result"": ""\""{'Min': 1.0, 'Q1': 4.0, 'Median': 4.0, 'Q3': 5.0, 'Max': 5.0}\"""", ""conclusion"": ""\""{'Min': 1.0, 'Q1': 4.0, 'Median': 4.0, 'Q3': 5.0, 'Max': 5.0}\""""}]","### Task Description: You need to select all applicable methods from provided Classification List based on the given Statistical Question and the properties of the Relevant Columns.
### Instruction: You should only reply with one answer in JSON format containing one key: 'methods'. The value of 'methods' is a list containing all methods you think applicable. The template is: {""methods"": [""m1"", ""m2"", ""...""]}. Ensure your methods selection is only limited to the classification list provided.
### Classification List: 
Correlation Analysis: Pearson Correlation Coefficient, Spearman Correlation Coefficient, Kendall Correlation Coefficient, Partial Correlation Coefficient;
Distribution Compliance Test: Anderson-Darling Test, Shapiro-Wilk Test of Normality, Kolmogorov-Smirnov Test for Normality, Lilliefors Test, Kolmogorov-Smirnov Test, Kolmogorov-Smirnov Test for Uniform distribution, Kolmogorov-Smirnov Test for Gamma distribution, Kolmogorov-Smirnov Test for Exponential distribution;
Contingency Table Test: Chi-square Independence Test, Fisher Exact Test, Mantel-Haenszel Test;
Descriptive Statistics: Mean, Median, Mode, Range, Quartile, Standard Deviation, Skewness, Kurtosis;
Variance Test: Mood Variance Test, Levene Test, Bartlett Test, F-Test for Variance.
### Relevant Columns:
column_header: famrel; data_type: quantitative; num_of_rows: 649; is_normality: False.
### Statistical Question: Could you calculate the quartiles for the distribution of the quality of family relationships (famrel) in the dataset?
### Response: The answer of applicable methods in JSON format is: {""methods"": ["""
Housing Price Dataset,Does the number of bedrooms follow a normal distribution?,"[{""column_header"": ""Bedrooms"", ""is_strata"": false, ""is_control"": false}]",Distribution Compliance Test,medium,"[{""method"": ""Anderson-Darling Test"", ""result"": ""{\""AD results\"": \""{\\\""stat\\\"": 2500.47474, \\\""crit\\\"": 0.576}\""}"", ""conclusion"": ""Non-normally distributed""}, {""method"": ""Shapiro-Wilk Test of Normality"", ""result"": ""{\""p value\"": \""null\""}"", ""conclusion"": ""Not applicable""}, {""method"": ""Kolmogorov-Smirnov Test for Normality"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Non-normally distributed""}, {""method"": ""Lilliefors Test"", ""result"": ""{\""p value\"": 0.001}"", ""conclusion"": ""Non-normally distributed""}]","### Task Description: You need to select all applicable methods from provided Classification List based on the given Statistical Question and the properties of the Relevant Columns.
### Instruction: You should only reply with one answer in JSON format containing one key: 'methods'. The value of 'methods' is a list containing all methods you think applicable. The template is: {""methods"": [""m1"", ""m2"", ""...""]}. Ensure your methods selection is only limited to the classification list provided.
### Classification List: 
Correlation Analysis: Pearson Correlation Coefficient, Spearman Correlation Coefficient, Kendall Correlation Coefficient, Partial Correlation Coefficient;
Distribution Compliance Test: Anderson-Darling Test, Shapiro-Wilk Test of Normality, Kolmogorov-Smirnov Test for Normality, Lilliefors Test, Kolmogorov-Smirnov Test, Kolmogorov-Smirnov Test for Uniform distribution, Kolmogorov-Smirnov Test for Gamma distribution, Kolmogorov-Smirnov Test for Exponential distribution;
Contingency Table Test: Chi-square Independence Test, Fisher Exact Test, Mantel-Haenszel Test;
Descriptive Statistics: Mean, Median, Mode, Range, Quartile, Standard Deviation, Skewness, Kurtosis;
Variance Test: Mood Variance Test, Levene Test, Bartlett Test, F-Test for Variance.
### Relevant Columns:
column_header: Bedrooms; data_type: quantitative; num_of_rows: 50000; is_normality: False.
### Statistical Question: Does the number of bedrooms follow a normal distribution?
### Response: The answer of applicable methods in JSON format is: {""methods"": ["""
Video Games Sales Dataset,"Could you calculate the quartiles for the total number of units sold worldwide, in millions?","[{""column_header"": ""Global"", ""is_strata"": false, ""is_control"": false}]",Descriptive Statistics,easy,"[{""method"": ""Quartile"", ""result"": ""\""{'Min': 0.83, 'Q1': 1.11, 'Median': 1.53, 'Q3': 2.54, 'Max': 81.12}\"""", ""conclusion"": ""\""{'Min': 0.83, 'Q1': 1.11, 'Median': 1.53, 'Q3': 2.54, 'Max': 81.12}\""""}]","### Task Description: You need to select all applicable methods from provided Classification List based on the given Statistical Question and the properties of the Relevant Columns.
### Instruction: You should only reply with one answer in JSON format containing one key: 'methods'. The value of 'methods' is a list containing all methods you think applicable. The template is: {""methods"": [""m1"", ""m2"", ""...""]}. Ensure your methods selection is only limited to the classification list provided.
### Classification List: 
Correlation Analysis: Pearson Correlation Coefficient, Spearman Correlation Coefficient, Kendall Correlation Coefficient, Partial Correlation Coefficient;
Distribution Compliance Test: Anderson-Darling Test, Shapiro-Wilk Test of Normality, Kolmogorov-Smirnov Test for Normality, Lilliefors Test, Kolmogorov-Smirnov Test, Kolmogorov-Smirnov Test for Uniform distribution, Kolmogorov-Smirnov Test for Gamma distribution, Kolmogorov-Smirnov Test for Exponential distribution;
Contingency Table Test: Chi-square Independence Test, Fisher Exact Test, Mantel-Haenszel Test;
Descriptive Statistics: Mean, Median, Mode, Range, Quartile, Standard Deviation, Skewness, Kurtosis;
Variance Test: Mood Variance Test, Levene Test, Bartlett Test, F-Test for Variance.
### Relevant Columns:
column_header: Global; data_type: quantitative; num_of_rows: 1907; is_normality: False.
### Statistical Question: Could you calculate the quartiles for the total number of units sold worldwide, in millions?
### Response: The answer of applicable methods in JSON format is: {""methods"": ["""
Student Performance Prediction Dataset,Could you calculate the kurtosis for the variable representing father's education level?,"[{""column_header"": ""Fedu"", ""is_strata"": false, ""is_control"": false}]",Descriptive Statistics,easy,"[{""method"": ""Kurtosis"", ""result"": ""-1.10924"", ""conclusion"": ""-1.10924""}]","### Task Description: You need to select all applicable methods from provided Classification List based on the given Statistical Question and the properties of the Relevant Columns.
### Instruction: You should only reply with one answer in JSON format containing one key: 'methods'. The value of 'methods' is a list containing all methods you think applicable. The template is: {""methods"": [""m1"", ""m2"", ""...""]}. Ensure your methods selection is only limited to the classification list provided.
### Classification List: 
Correlation Analysis: Pearson Correlation Coefficient, Spearman Correlation Coefficient, Kendall Correlation Coefficient, Partial Correlation Coefficient;
Distribution Compliance Test: Anderson-Darling Test, Shapiro-Wilk Test of Normality, Kolmogorov-Smirnov Test for Normality, Lilliefors Test, Kolmogorov-Smirnov Test, Kolmogorov-Smirnov Test for Uniform distribution, Kolmogorov-Smirnov Test for Gamma distribution, Kolmogorov-Smirnov Test for Exponential distribution;
Contingency Table Test: Chi-square Independence Test, Fisher Exact Test, Mantel-Haenszel Test;
Descriptive Statistics: Mean, Median, Mode, Range, Quartile, Standard Deviation, Skewness, Kurtosis;
Variance Test: Mood Variance Test, Levene Test, Bartlett Test, F-Test for Variance.
### Relevant Columns:
column_header: Fedu; data_type: quantitative; num_of_rows: 649; is_normality: False.
### Statistical Question: Could you calculate the kurtosis for the variable representing father's education level?
### Response: The answer of applicable methods in JSON format is: {""methods"": ["""
Dataset for Admission in the University,Is there a correspondence between the variability in TOEFL scores of applicants and the variability in the probability of being admitted to the university?,"[{""column_header"": ""TOEFL Score"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Chance of Admit "", ""is_strata"": false, ""is_control"": false}]",Variance Test,medium,"[{""method"": ""Mood Variance Test"", ""result"": ""{\""stat\"": 0.0, \""p value\"": 1.0}"", ""conclusion"": ""Variance not significantly difference between them""}, {""method"": ""Levene Test"", ""result"": ""{\""stat\"": 769.77855, \""p value\"": 0.0}"", ""conclusion"": ""Variance significantly difference between them""}, {""method"": ""Bartlett Test"", ""result"": ""{\""stat\"": \""null\"", \""p value\"": \""null\""}"", ""conclusion"": ""Not applicable""}, {""method"": ""F-Test for Variance"", ""result"": ""{\""stat\"": \""null\"", \""p value\"": \""null\""}"", ""conclusion"": ""Not applicable""}]","### Task Description: You need to select all applicable methods from provided Classification List based on the given Statistical Question and the properties of the Relevant Columns.
### Instruction: You should only reply with one answer in JSON format containing one key: 'methods'. The value of 'methods' is a list containing all methods you think applicable. The template is: {""methods"": [""m1"", ""m2"", ""...""]}. Ensure your methods selection is only limited to the classification list provided.
### Classification List: 
Correlation Analysis: Pearson Correlation Coefficient, Spearman Correlation Coefficient, Kendall Correlation Coefficient, Partial Correlation Coefficient;
Distribution Compliance Test: Anderson-Darling Test, Shapiro-Wilk Test of Normality, Kolmogorov-Smirnov Test for Normality, Lilliefors Test, Kolmogorov-Smirnov Test, Kolmogorov-Smirnov Test for Uniform distribution, Kolmogorov-Smirnov Test for Gamma distribution, Kolmogorov-Smirnov Test for Exponential distribution;
Contingency Table Test: Chi-square Independence Test, Fisher Exact Test, Mantel-Haenszel Test;
Descriptive Statistics: Mean, Median, Mode, Range, Quartile, Standard Deviation, Skewness, Kurtosis;
Variance Test: Mood Variance Test, Levene Test, Bartlett Test, F-Test for Variance.
### Relevant Columns:
column_header: TOEFL Score; data_type: quantitative; num_of_rows: 400; is_normality: False.
column_header: Chance of Admit ; data_type: quantitative; num_of_rows: 400; is_normality: False.
### Statistical Question: Is there a correspondence between the variability in TOEFL scores of applicants and the variability in the probability of being admitted to the university?
### Response: The answer of applicable methods in JSON format is: {""methods"": ["""
