dataset,refined_question,relevant_column,task,difficulty,results,prompt
Real Estate Valuation Dataset,Is the distribution of house prices per unit area (Y) approximately normal?,"[{""column_header"": ""Y house price of unit area"", ""is_strata"": false, ""is_control"": false}]",Distribution Compliance Test,medium,"[{""method"": ""Anderson-Darling Test"", ""result"": ""{\""AD results\"": \""{\\\""stat\\\"": 0.81236, \\\""crit\\\"": 0.571}\""}"", ""conclusion"": ""Non-normally distributed""}, {""method"": ""Shapiro-Wilk Test of Normality"", ""result"": ""{\""p value\"": \""null\""}"", ""conclusion"": ""Not applicable""}, {""method"": ""Kolmogorov-Smirnov Test for Normality"", ""result"": ""{\""p value\"": 0.75096}"", ""conclusion"": ""Normally distributed""}, {""method"": ""Lilliefors Test"", ""result"": ""{\""p value\"": 0.38758}"", ""conclusion"": ""Normally distributed""}]","### Task Description: You need to select all applicable methods from provided Classification List based on the given Statistical Question and the properties of the Relevant Columns.
### Instruction: You should only reply with one answer in JSON format containing one key: 'methods'. The value of 'methods' is a list containing all methods you think applicable. The template is: {""methods"": [""m1"", ""m2"", ""...""]}. Ensure your methods selection is only limited to the classification list provided.
### Classification List: 
Correlation Analysis: Pearson Correlation Coefficient, Spearman Correlation Coefficient, Kendall Correlation Coefficient, Partial Correlation Coefficient;
Distribution Compliance Test: Anderson-Darling Test, Shapiro-Wilk Test of Normality, Kolmogorov-Smirnov Test for Normality, Lilliefors Test, Kolmogorov-Smirnov Test, Kolmogorov-Smirnov Test for Uniform distribution, Kolmogorov-Smirnov Test for Gamma distribution, Kolmogorov-Smirnov Test for Exponential distribution;
Contingency Table Test: Chi-square Independence Test, Fisher Exact Test, Mantel-Haenszel Test;
Descriptive Statistics: Mean, Median, Mode, Range, Quartile, Standard Deviation, Skewness, Kurtosis;
Variance Test: Mood Variance Test, Levene Test, Bartlett Test, F-Test for Variance.
### Relevant Columns:
column_header: Y house price of unit area; data_type: quantitative; num_of_rows: 414; is_normality: False.
### Statistical Question: Is the distribution of house prices per unit area (Y) approximately normal?
### Response: The answer of applicable methods in JSON format is: {""methods"": ["""
FIFA Official Dataset 2023,What is the average estimated market value of the players in pounds (£)?,"[{""column_header"": ""Value"", ""is_strata"": false, ""is_control"": false}]",Descriptive Statistics,easy,"[{""method"": ""Mean"", ""result"": ""2739788.39185"", ""conclusion"": ""2739788.39185""}]","### Task Description: You need to select all applicable methods from provided Classification List based on the given Statistical Question and the properties of the Relevant Columns.
### Instruction: You should only reply with one answer in JSON format containing one key: 'methods'. The value of 'methods' is a list containing all methods you think applicable. The template is: {""methods"": [""m1"", ""m2"", ""...""]}. Ensure your methods selection is only limited to the classification list provided.
### Classification List: 
Correlation Analysis: Pearson Correlation Coefficient, Spearman Correlation Coefficient, Kendall Correlation Coefficient, Partial Correlation Coefficient;
Distribution Compliance Test: Anderson-Darling Test, Shapiro-Wilk Test of Normality, Kolmogorov-Smirnov Test for Normality, Lilliefors Test, Kolmogorov-Smirnov Test, Kolmogorov-Smirnov Test for Uniform distribution, Kolmogorov-Smirnov Test for Gamma distribution, Kolmogorov-Smirnov Test for Exponential distribution;
Contingency Table Test: Chi-square Independence Test, Fisher Exact Test, Mantel-Haenszel Test;
Descriptive Statistics: Mean, Median, Mode, Range, Quartile, Standard Deviation, Skewness, Kurtosis;
Variance Test: Mood Variance Test, Levene Test, Bartlett Test, F-Test for Variance.
### Relevant Columns:
column_header: Value; data_type: quantitative; num_of_rows: 17660; is_normality: False.
### Statistical Question: What is the average estimated market value of the players in pounds (£)?
### Response: The answer of applicable methods in JSON format is: {""methods"": ["""
US Christmas Tree Sales Dataset,Is there any relationship between the number of trees sold and the average tree price?,"[{""column_header"": ""Number of trees sold"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Average Tree Price"", ""is_strata"": false, ""is_control"": false}]",Correlation Analysis,medium,"[{""method"": ""Pearson Correlation Coefficient"", ""result"": ""{\""coefficient\"": \""null\""}"", ""conclusion"": ""Not applicable""}, {""method"": ""Spearman Correlation Coefficient"", ""result"": ""{\""coefficient\"": \""null\""}"", ""conclusion"": ""Not applicable""}, {""method"": ""Kendall Correlation Coefficient"", ""result"": ""{\""coefficient\"": -0.42857}"", ""conclusion"": ""Not strongly correlated""}]","### Task Description: You need to select all applicable methods from provided Classification List based on the given Statistical Question and the properties of the Relevant Columns.
### Instruction: You should only reply with one answer in JSON format containing one key: 'methods'. The value of 'methods' is a list containing all methods you think applicable. The template is: {""methods"": [""m1"", ""m2"", ""...""]}. Ensure your methods selection is only limited to the classification list provided.
### Classification List: 
Correlation Analysis: Pearson Correlation Coefficient, Spearman Correlation Coefficient, Kendall Correlation Coefficient, Partial Correlation Coefficient;
Distribution Compliance Test: Anderson-Darling Test, Shapiro-Wilk Test of Normality, Kolmogorov-Smirnov Test for Normality, Lilliefors Test, Kolmogorov-Smirnov Test, Kolmogorov-Smirnov Test for Uniform distribution, Kolmogorov-Smirnov Test for Gamma distribution, Kolmogorov-Smirnov Test for Exponential distribution;
Contingency Table Test: Chi-square Independence Test, Fisher Exact Test, Mantel-Haenszel Test;
Descriptive Statistics: Mean, Median, Mode, Range, Quartile, Standard Deviation, Skewness, Kurtosis;
Variance Test: Mood Variance Test, Levene Test, Bartlett Test, F-Test for Variance.
### Relevant Columns:
column_header: Number of trees sold; data_type: quantitative; num_of_rows: 14; is_normality: True.
column_header: Average Tree Price; data_type: quantitative; num_of_rows: 14; is_normality: True.
### Statistical Question: Is there any relationship between the number of trees sold and the average tree price?
### Response: The answer of applicable methods in JSON format is: {""methods"": ["""
Bank Customer Churn Prediction Dataset,"In the context of gender stratification, are there differential patterns in the influence of having a credit card (HasCrCard) on being an active member (IsActiveMember)?","[{""column_header"": ""HasCrCard"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""IsActiveMember"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Gender"", ""is_strata"": true, ""is_control"": false}]",Contingency Table Test,easy,"[{""method"": ""Mantel-Haenszel Test"", ""result"": ""{\""p value\"": 0.22824}"", ""conclusion"": ""Independent""}]","### Task Description: You need to select all applicable methods from provided Classification List based on the given Statistical Question and the properties of the Relevant Columns.
### Instruction: You should only reply with one answer in JSON format containing one key: 'methods'. The value of 'methods' is a list containing all methods you think applicable. The template is: {""methods"": [""m1"", ""m2"", ""...""]}. Ensure your methods selection is only limited to the classification list provided.
### Classification List: 
Correlation Analysis: Pearson Correlation Coefficient, Spearman Correlation Coefficient, Kendall Correlation Coefficient, Partial Correlation Coefficient;
Distribution Compliance Test: Anderson-Darling Test, Shapiro-Wilk Test of Normality, Kolmogorov-Smirnov Test for Normality, Lilliefors Test, Kolmogorov-Smirnov Test, Kolmogorov-Smirnov Test for Uniform distribution, Kolmogorov-Smirnov Test for Gamma distribution, Kolmogorov-Smirnov Test for Exponential distribution;
Contingency Table Test: Chi-square Independence Test, Fisher Exact Test, Mantel-Haenszel Test;
Descriptive Statistics: Mean, Median, Mode, Range, Quartile, Standard Deviation, Skewness, Kurtosis;
Variance Test: Mood Variance Test, Levene Test, Bartlett Test, F-Test for Variance.
### Relevant Columns:
column_header: HasCrCard; data_type: categorical; num_of_rows: 10002; is_normality: False.
column_header: IsActiveMember; data_type: categorical; num_of_rows: 10002; is_normality: False.
column_header: Gender; data_type: categorical; num_of_rows: 10002; is_normality: False.
### Statistical Question: In the context of gender stratification, are there differential patterns in the influence of having a credit card (HasCrCard) on being an active member (IsActiveMember)?
### Response: The answer of applicable methods in JSON format is: {""methods"": ["""
Student Performance Prediction Dataset,How comparable are the distributions of age and weekend alcohol consumption (Walc)?,"[{""column_header"": ""age"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Walc"", ""is_strata"": false, ""is_control"": false}]",Distribution Compliance Test,easy,"[{""method"": ""Kolmogorov-Smirnov Test"", ""result"": ""{\""p value\"": 0.0}"", ""conclusion"": ""Distribution significantly different""}]","### Task Description: You need to select all applicable methods from provided Classification List based on the given Statistical Question and the properties of the Relevant Columns.
### Instruction: You should only reply with one answer in JSON format containing one key: 'methods'. The value of 'methods' is a list containing all methods you think applicable. The template is: {""methods"": [""m1"", ""m2"", ""...""]}. Ensure your methods selection is only limited to the classification list provided.
### Classification List: 
Correlation Analysis: Pearson Correlation Coefficient, Spearman Correlation Coefficient, Kendall Correlation Coefficient, Partial Correlation Coefficient;
Distribution Compliance Test: Anderson-Darling Test, Shapiro-Wilk Test of Normality, Kolmogorov-Smirnov Test for Normality, Lilliefors Test, Kolmogorov-Smirnov Test, Kolmogorov-Smirnov Test for Uniform distribution, Kolmogorov-Smirnov Test for Gamma distribution, Kolmogorov-Smirnov Test for Exponential distribution;
Contingency Table Test: Chi-square Independence Test, Fisher Exact Test, Mantel-Haenszel Test;
Descriptive Statistics: Mean, Median, Mode, Range, Quartile, Standard Deviation, Skewness, Kurtosis;
Variance Test: Mood Variance Test, Levene Test, Bartlett Test, F-Test for Variance.
### Relevant Columns:
column_header: age; data_type: quantitative; num_of_rows: 649; is_normality: False.
column_header: Walc; data_type: quantitative; num_of_rows: 649; is_normality: False.
### Statistical Question: How comparable are the distributions of age and weekend alcohol consumption (Walc)?
### Response: The answer of applicable methods in JSON format is: {""methods"": ["""
Terrorist Attacks Dataset,"What is the relationship between hostage taking in barricade incidents and the number of deaths of individuals aged 1-5, after accounting for the total number of recorded terrorist attacks?","[{""column_header"": ""Attack method: Hostage Taking (Barricade Incident)"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Death Age :  1-5"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Terrorist attacks"", ""is_strata"": false, ""is_control"": true}]",Correlation Analysis,easy,"[{""method"": ""Partial Correlation Coefficient"", ""result"": ""{\""coefficient\"": -0.39748, \""p value\"": 0.0}"", ""conclusion"": ""Not strongly correlated""}]","### Task Description: You need to select all applicable methods from provided Classification List based on the given Statistical Question and the properties of the Relevant Columns.
### Instruction: You should only reply with one answer in JSON format containing one key: 'methods'. The value of 'methods' is a list containing all methods you think applicable. The template is: {""methods"": [""m1"", ""m2"", ""...""]}. Ensure your methods selection is only limited to the classification list provided.
### Classification List: 
Correlation Analysis: Pearson Correlation Coefficient, Spearman Correlation Coefficient, Kendall Correlation Coefficient, Partial Correlation Coefficient;
Distribution Compliance Test: Anderson-Darling Test, Shapiro-Wilk Test of Normality, Kolmogorov-Smirnov Test for Normality, Lilliefors Test, Kolmogorov-Smirnov Test, Kolmogorov-Smirnov Test for Uniform distribution, Kolmogorov-Smirnov Test for Gamma distribution, Kolmogorov-Smirnov Test for Exponential distribution;
Contingency Table Test: Chi-square Independence Test, Fisher Exact Test, Mantel-Haenszel Test;
Descriptive Statistics: Mean, Median, Mode, Range, Quartile, Standard Deviation, Skewness, Kurtosis;
Variance Test: Mood Variance Test, Levene Test, Bartlett Test, F-Test for Variance.
### Relevant Columns:
column_header: Attack method: Hostage Taking (Barricade Incident); data_type: quantitative; num_of_rows: 10517; is_normality: False.
column_header: Death Age :  1-5; data_type: quantitative; num_of_rows: 10517; is_normality: False.
column_header: Terrorist attacks; data_type: quantitative; num_of_rows: 10517; is_normality: False.
### Statistical Question: What is the relationship between hostage taking in barricade incidents and the number of deaths of individuals aged 1-5, after accounting for the total number of recorded terrorist attacks?
### Response: The answer of applicable methods in JSON format is: {""methods"": ["""
FIFA Official Dataset 2023,What is the magnitude of variation in the players' weekly wages in pounds (£)?,"[{""column_header"": ""Wage"", ""is_strata"": false, ""is_control"": false}]",Descriptive Statistics,easy,"[{""method"": ""Range"", ""result"": ""450000.0"", ""conclusion"": ""450000.0""}]","### Task Description: You need to select all applicable methods from provided Classification List based on the given Statistical Question and the properties of the Relevant Columns.
### Instruction: You should only reply with one answer in JSON format containing one key: 'methods'. The value of 'methods' is a list containing all methods you think applicable. The template is: {""methods"": [""m1"", ""m2"", ""...""]}. Ensure your methods selection is only limited to the classification list provided.
### Classification List: 
Correlation Analysis: Pearson Correlation Coefficient, Spearman Correlation Coefficient, Kendall Correlation Coefficient, Partial Correlation Coefficient;
Distribution Compliance Test: Anderson-Darling Test, Shapiro-Wilk Test of Normality, Kolmogorov-Smirnov Test for Normality, Lilliefors Test, Kolmogorov-Smirnov Test, Kolmogorov-Smirnov Test for Uniform distribution, Kolmogorov-Smirnov Test for Gamma distribution, Kolmogorov-Smirnov Test for Exponential distribution;
Contingency Table Test: Chi-square Independence Test, Fisher Exact Test, Mantel-Haenszel Test;
Descriptive Statistics: Mean, Median, Mode, Range, Quartile, Standard Deviation, Skewness, Kurtosis;
Variance Test: Mood Variance Test, Levene Test, Bartlett Test, F-Test for Variance.
### Relevant Columns:
column_header: Wage; data_type: quantitative; num_of_rows: 17660; is_normality: False.
### Statistical Question: What is the magnitude of variation in the players' weekly wages in pounds (£)?
### Response: The answer of applicable methods in JSON format is: {""methods"": ["""
Student Information and Grades Dataset,Is there a relationship between gender and involvement in project work?,"[{""column_header"": ""Sex"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""Project_work"", ""is_strata"": false, ""is_control"": false}]",Contingency Table Test,easy,"[{""method"": ""Chi-square Independence Test"", ""result"": ""{\""p value\"": 0.20968}"", ""conclusion"": ""Independent""}, {""method"": ""Fisher Exact Test"", ""result"": ""{\""p value\"": 0.17705}"", ""conclusion"": ""Independent""}]","### Task Description: You need to select all applicable methods from provided Classification List based on the given Statistical Question and the properties of the Relevant Columns.
### Instruction: You should only reply with one answer in JSON format containing one key: 'methods'. The value of 'methods' is a list containing all methods you think applicable. The template is: {""methods"": [""m1"", ""m2"", ""...""]}. Ensure your methods selection is only limited to the classification list provided.
### Classification List: 
Correlation Analysis: Pearson Correlation Coefficient, Spearman Correlation Coefficient, Kendall Correlation Coefficient, Partial Correlation Coefficient;
Distribution Compliance Test: Anderson-Darling Test, Shapiro-Wilk Test of Normality, Kolmogorov-Smirnov Test for Normality, Lilliefors Test, Kolmogorov-Smirnov Test, Kolmogorov-Smirnov Test for Uniform distribution, Kolmogorov-Smirnov Test for Gamma distribution, Kolmogorov-Smirnov Test for Exponential distribution;
Contingency Table Test: Chi-square Independence Test, Fisher Exact Test, Mantel-Haenszel Test;
Descriptive Statistics: Mean, Median, Mode, Range, Quartile, Standard Deviation, Skewness, Kurtosis;
Variance Test: Mood Variance Test, Levene Test, Bartlett Test, F-Test for Variance.
### Relevant Columns:
column_header: Sex; data_type: categorical; num_of_rows: 145; is_normality: False.
column_header: Project_work; data_type: categorical; num_of_rows: 145; is_normality: False.
### Statistical Question: Is there a relationship between gender and involvement in project work?
### Response: The answer of applicable methods in JSON format is: {""methods"": ["""
Student Performance Prediction Dataset,"How is the correlation between variations in maternal education (coded numerically as 0 for none, 1 for primary education (4th grade), 2 for 5th to 9th grade, 3 for secondary education, or 4 for higher education) and changes in G2 grades (ranging numerically from 0 to 20)?","[{""column_header"": ""Medu"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""G2"", ""is_strata"": false, ""is_control"": false}]",Correlation Analysis,easy,"[{""method"": ""Pearson Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.26404}"", ""conclusion"": ""Not strongly correlated""}, {""method"": ""Spearman Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.28564}"", ""conclusion"": ""Not strongly correlated""}, {""method"": ""Kendall Correlation Coefficient"", ""result"": ""{\""coefficient\"": 0.22339}"", ""conclusion"": ""Not strongly correlated""}]","### Task Description: You need to select all applicable methods from provided Classification List based on the given Statistical Question and the properties of the Relevant Columns.
### Instruction: You should only reply with one answer in JSON format containing one key: 'methods'. The value of 'methods' is a list containing all methods you think applicable. The template is: {""methods"": [""m1"", ""m2"", ""...""]}. Ensure your methods selection is only limited to the classification list provided.
### Classification List: 
Correlation Analysis: Pearson Correlation Coefficient, Spearman Correlation Coefficient, Kendall Correlation Coefficient, Partial Correlation Coefficient;
Distribution Compliance Test: Anderson-Darling Test, Shapiro-Wilk Test of Normality, Kolmogorov-Smirnov Test for Normality, Lilliefors Test, Kolmogorov-Smirnov Test, Kolmogorov-Smirnov Test for Uniform distribution, Kolmogorov-Smirnov Test for Gamma distribution, Kolmogorov-Smirnov Test for Exponential distribution;
Contingency Table Test: Chi-square Independence Test, Fisher Exact Test, Mantel-Haenszel Test;
Descriptive Statistics: Mean, Median, Mode, Range, Quartile, Standard Deviation, Skewness, Kurtosis;
Variance Test: Mood Variance Test, Levene Test, Bartlett Test, F-Test for Variance.
### Relevant Columns:
column_header: Medu; data_type: quantitative; num_of_rows: 649; is_normality: False.
column_header: G2; data_type: quantitative; num_of_rows: 649; is_normality: False.
### Statistical Question: How is the correlation between variations in maternal education (coded numerically as 0 for none, 1 for primary education (4th grade), 2 for 5th to 9th grade, 3 for secondary education, or 4 for higher education) and changes in G2 grades (ranging numerically from 0 to 20)?
### Response: The answer of applicable methods in JSON format is: {""methods"": ["""
Student Performance Prediction Dataset,Are the father's job and the guardian independent of each other?,"[{""column_header"": ""Fjob"", ""is_strata"": false, ""is_control"": false}, {""column_header"": ""guardian"", ""is_strata"": false, ""is_control"": false}]",Contingency Table Test,medium,"[{""method"": ""Chi-square Independence Test"", ""result"": ""{\""p value\"": 0.00733}"", ""conclusion"": ""Not independent""}, {""method"": ""Fisher Exact Test"", ""result"": ""{\""p value\"": \""null\""}"", ""conclusion"": ""Not applicable""}]","### Task Description: You need to select all applicable methods from provided Classification List based on the given Statistical Question and the properties of the Relevant Columns.
### Instruction: You should only reply with one answer in JSON format containing one key: 'methods'. The value of 'methods' is a list containing all methods you think applicable. The template is: {""methods"": [""m1"", ""m2"", ""...""]}. Ensure your methods selection is only limited to the classification list provided.
### Classification List: 
Correlation Analysis: Pearson Correlation Coefficient, Spearman Correlation Coefficient, Kendall Correlation Coefficient, Partial Correlation Coefficient;
Distribution Compliance Test: Anderson-Darling Test, Shapiro-Wilk Test of Normality, Kolmogorov-Smirnov Test for Normality, Lilliefors Test, Kolmogorov-Smirnov Test, Kolmogorov-Smirnov Test for Uniform distribution, Kolmogorov-Smirnov Test for Gamma distribution, Kolmogorov-Smirnov Test for Exponential distribution;
Contingency Table Test: Chi-square Independence Test, Fisher Exact Test, Mantel-Haenszel Test;
Descriptive Statistics: Mean, Median, Mode, Range, Quartile, Standard Deviation, Skewness, Kurtosis;
Variance Test: Mood Variance Test, Levene Test, Bartlett Test, F-Test for Variance.
### Relevant Columns:
column_header: Fjob; data_type: categorical; num_of_rows: 649; is_normality: False.
column_header: guardian; data_type: categorical; num_of_rows: 649; is_normality: False.
### Statistical Question: Are the father's job and the guardian independent of each other?
### Response: The answer of applicable methods in JSON format is: {""methods"": ["""
